time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-29 00:00:00+00:00,,,2.0,1.0
2023-08-30 00:00:00+00:00,3.0,2.0,,
2023-08-31 00:00:00+00:00,,,1.0,1.0
2023-09-02 00:00:00+00:00,,,1.0,1.0
2023-09-03 00:00:00+00:00,1.0,1.0,,
2023-09-06 00:00:00+00:00,1.0,1.0,,
